country,totalSites,name,surface_total,surface_oneKM,surface_tenKM,water_m250,water_m500,water_oneKM,people_tenKM,people_oneKM,people_fiveKM,indexYear,kgPerCaptia,rank,topProducer_1,topProducer_1_value,topProducer_2,topProducer_2_value,topProducer_3,topProducer_3_value,topProducer_4,topProducer_4_value,topProducer_5,topProducer_5_value
Romania,0,ROMANIA,,,,,,,,,,2021,14.99233384242085,46,BOREALIS AG,16.388453686966233,Dow Inc,15.564524537853853,Indorama Ventures PCL,28.349266438492826,LyondellBasell Industries NV,21.553383223368535,Saudi Arabian Oil Co,19.440107476871244
Russia,0,RUSSIAN FEDERATION,,,,,,,,,,2021,15.940560642204618,8,ALCO-NAPHTHA ZAO,143.9347571601716,BOREALIS AG,84.45117075612305,Nizhnekamskneftekhim PJSC,161.7642910603749,Organichesky Sintez PJSC,109.20006566828835,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,453.1729137968375
Saudi Arabia,2,SAUDI ARABIA,532.5131619862548,0.0,0.0,1.0,1.0,2.0,362529.0,3624.0,73925.0,2021,34.35041521214408,20,ARABIAN INDUSTRIAL FIBERS - IBN RASHD COMPANY,106.28724554118808,Dow Inc,43.04638103581713,Exxon Mobil Corp,59.55652130489003,OCTAL PETROCHEMICALS FZC,105.97641133572421,Saudi Arabian Oil Co,256.41200274769324
Senegal,1,SENEGAL,1798.5318162438625,1.0,0.0,0.0,1.0,1.0,1429980.0,14119.0,367454.0,2021,1.642626503115811,106,Exxon Mobil Corp,1.6389777059407087,OCTAL PETROCHEMICALS FZC,1.103,Reliance Industries Ltd,1.3111404181434563,Sasol Ltd,2.1118382965885525,Saudi Arabian Oil Co,3.2927288232926584
Serbia,0,SERBIA,,,,,,,,,,2021,14.646075987427366,78,HIP-PETROHEMIJA AD PANCEVO,9.493122843094001,Hipol a.d.,5.958619800162836,Indorama Ventures PCL,6.454088973963474,MOL Hungarian Oil & Gas PLC,7.051041489298845,Saudi Arabian Oil Co,9.09635375156154
Sierra Leone,1,SIERRA LEONE,749.6032712934416,0.0,0.0,1.0,1.0,1.0,710260.0,25567.0,337310.0,2021,0.4831895667457647,139,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.2213162102088831,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.2733906126109732,QATAR PETROCHEMICAL CO QAPCO,0.368325600222518,QATAR PETROLEUM,0.38335929819078407,Sasol Ltd,0.21773572354026727
Singapore,4,SINGAPORE,2018.8467671591736,1.0,0.0,2.0,3.0,4.0,4593982.0,38644.0,1334055.0,2021,77.69389830015636,39,China Petroleum & Chemical Corp,23.12298046345313,Dow Inc,21.177428602717942,Exxon Mobil Corp,22.833119425509317,PetroChina Co Ltd,16.743514595548845,Reliance Industries Ltd,17.950265522575663
Slovakia,0,SLOVAKIA,,,,,,,,,,2021,21.01937881082354,71,Dow Inc,8.474677087011926,Exxon Mobil Corp,6.103711217233854,Indorama Ventures PCL,9.348264309925623,LyondellBasell Industries NV,8.315729099467248,Saudi Arabian Oil Co,7.896667219251592
Slovenia,0,SLOVENIA,,,,,,,,,,2021,35.26469398664428,87,Dow Inc,4.53648386275345,Exxon Mobil Corp,3.7101908511930515,Indorama Ventures PCL,4.982102921018636,LyondellBasell Industries NV,3.7334774470237337,Saudi Arabian Oil Co,4.204299410232387
South Africa,26,SOUTH AFRICA,113265.2241787421,14.0,3.0,5.0,7.0,12.0,3778348.0,24206.0,996201.0,2021,13.161453003856007,27,Dow Inc,27.678466548714162,Exxon Mobil Corp,35.680660004607674,KAP Industrial Holdings Ltd,145.08821465973188,Sasol Ltd,161.0200758258825,Saudi Arabian Oil Co,38.7983004209556
South Korea,4,REPUBLIC OF KOREA,7072.628295194389,3.0,0.0,3.0,3.0,4.0,3751838.0,31966.0,815293.0,2021,43.629436025659295,10,Exxon Mobil Corp,111.98915980376412,Hanwha Corp,143.73126756803762,LG Chem Ltd,109.3064521725581,Lotte Chemical Corp,247.45009017931105,LyondellBasell Industries NV,130.67761566642451
Spain,18,SPAIN,120979.75059526853,11.0,4.0,9.0,10.0,12.0,2627431.0,27312.0,651592.0,2021,33.90090552721281,14,Dow Inc,100.47024824857078,Exxon Mobil Corp,88.66737650662284,Indorama Ventures PCL,91.79174327179342,LyondellBasell Industries NV,120.99214810539796,Saudi Arabian Oil Co,120.65314699837154
Sri Lanka,28,SRI LANKA,65845.17795078656,14.0,1.0,14.0,20.0,23.0,8307250.0,147087.0,2981760.0,2021,3.8845456452608094,82,Exxon Mobil Corp,5.811563120370966,QATAR PETROLEUM,4.257629261856543,Reliance Industries Ltd,6.728144547805769,Saudi Arabian Oil Co,13.821023737039695,TOTAL SE,4.17246404695539
